node_name,avg_ratio
cluster_8_score,0.016697985181689176
cluster_12_score,0.016957292857582063
cluster_6_score,0.020683796813180496
cluster_14_score,0.024985988792547632
cluster_3_score,0.027091216068237785
cluster_0_score,0.02741817755778292
cluster_1_score,0.03180143024100072
cluster_10_score,0.032687006557002664
cluster_13_score,0.03463922668323293
cluster_2_score,0.036158580651600686
cluster_9_score,0.036438950810129725
cluster_5_score,0.038246944088477175
cluster_11_score,0.041650456418206146
cluster_7_score,0.04199193076783843
cluster_4_score,0.0735029024436068
